processor,transistor_count,date,designer,process,area
"MP944 (20-bit, 6-chip, 28 chips total)",74442.0,1970,Garrett AiResearch,,
"Intel 4004 (4-bit, 16-pin)",2250.0,1971,Intel,10000.0,12.0
"TMX 1795 (?-bit, 24-pin)",3078.0,1971,Texas Instruments,,30.0
"Intel 8008 (8-bit, 18-pin)",3500.0,1972,Intel,10000.0,14.0
"NEC μCOM-4 (4-bit, 42-pin)",2500.0,1973,NEC,7500.0,
Toshiba TLCS-12 (12-bit),11000.0,1973,Toshiba,6000.0,32.0
"Intel 4040 (4-bit, 16-pin)",3000.0,1974,Intel,10000.0,12.0
"Motorola 6800 (8-bit, 40-pin)",4100.0,1974,Motorola,6000.0,16.0
"Intel 8080 (8-bit, 40-pin)",6000.0,1974,Intel,6000.0,20.0
"TMS 1000 (4-bit, 28-pin)",8000.0,1974,Texas Instruments,8000.0,11.0
"MOS Technology 6502 (8-bit, 40-pin)",4528.0,1975,MOS Technology,8000.0,21.0
"Intersil IM6100 (12-bit, 40-pin; clone of PDP-8)",4000.0,1975,Intersil,,
"CDP 1801 (8-bit, 2-chip, 40-pin)",5000.0,1975,RCA,,
"RCA 1802 (8-bit, 40-pin)",5000.0,1976,RCA,5000.0,27.0
"Zilog Z80 (8-bit, 4-bit ALU, 40-pin)",8500.0,1976,Zilog,4000.0,18.0
"Intel 8085 (8-bit, 40-pin)",6500.0,1976,Intel,3000.0,20.0
TMS9900 (16-bit),8000.0,1976,Texas Instruments,,
"Motorola MC14500B (1-bit, 16-pin)",,1977,Motorola,,
Bellmac-8 (8-bit),7000.0,1977,Bell Labs,5000.0,
"Motorola 6809 (8-bit with some 16-bit features, 40-pin)",9000.0,1978,Motorola,5000.0,21.0
"Intel 8086 (16-bit, 40-pin)",29000.0,1978,Intel,3000.0,33.0
Zilog Z8000 (16-bit),17500.0,1979,Zilog,,
"Intel 8088 (16-bit, 8-bit data bus)",29000.0,1979,Intel,3000.0,33.0
"Motorola 68000 (16/32-bit, 32-bit registers, 16-bit ALU)",68000.0,1979,Motorola,3500.0,44.0
"Intel 8051 (8-bit, 40-pin)",50000.0,1980,Intel,,
WDC 65C02,11500.0,1981,WDC,3000.0,6.0
ROMP (32-bit),45000.0,1981,IBM,2000.0,
"Intel 80186 (16-bit, 68-pin)",55000.0,1982,Intel,3000.0,60.0
"Intel 80286 (16-bit, 68-pin)",134000.0,1982,Intel,1500.0,49.0
WDC 65C816 (8/16-bit),22000.0,1983,WDC,3000.0,9.0
NEC V20,63000.0,1984,NEC,,
Motorola 68020 (32-bit; 114 pins used),190000.0,1984,Motorola,2000.0,85.0
"Intel 80386 (32-bit, 132-pin; no cache)",275000.0,1985,Intel,1500.0,104.0
ARM 1 (32-bit; no cache),25000.0,1985,Acorn,3000.0,50.0
Novix NC4016 (16-bit),16000.0,1985,Harris Corporation,3000.0,
SPARC MB86900 (32-bit; no cache),110000.0,1986,Fujitsu,1200.0,
NEC V60[48] (32-bit; no cache),375000.0,1986,NEC,1500.0,
"ARM 2 (32-bit, 84-pin; no cache)",27000.0,1986,Acorn,2000.0,30.0
Z80000 (32-bit; very small cache),91000.0,1986,Zilog,,
NEC V70[48] (32-bit; no cache),385000.0,1987,NEC,1500.0,
Hitachi Gmicro/200[50],730000.0,1987,Hitachi,1000.0,
"Motorola 68030 (32-bit, very small caches)",273000.0,1987,Motorola,800.0,102.0
TI Explorer's 32-bit Lisp machine chip,553000.0,1987,Texas Instruments,2000.0,
DEC WRL MultiTitan,180000.0,1988,DEC WRL,1500.0,61.0
"Intel i960 (32-bit, 33-bit memory subsystem, no cache)",250000.0,1988,Intel,1500.0,
"Intel i960CA (32-bit, cache)",600000.0,1989,Intel,800.0,143.0
"Intel i860 (32/64-bit, 128-bit SIMD, cache, VLIW)",1000000.0,1989,Intel,,
"Intel 80486 (32-bit, 4 KB cache)",1180235.0,1989,Intel,1000.0,173.0
"ARM 3 (32-bit, 4 KB cache)",310000.0,1989,Acorn,1500.0,87.0
"Motorola 68040 (32-bit, 8 KB caches)",1200000.0,1990,Motorola,650.0,152.0
"R4000 (64-bit, 16 KB of caches)",1350000.0,1991,MIPS,1000.0,213.0
"ARM 6 (32-bit, no cache for this 60 variant)",35000.0,1991,ARM,800.0,
"Hitachi SH-1 (32-bit, no cache)",600000.0,1992,Hitachi,800.0,10.0
"Intel i960CF (32-bit, cache)",900000.0,1992,Intel,,125.0
"DEC Alpha 21064 (64-bit, 290-pin; 16 KB of caches)",1680000.0,1992,DEC,750.0,233.0
"Hitachi HARP-1 (32-bit, cache)",2800000.0,1993,Hitachi,500.0,267.0
"Pentium (32-bit, 16 KB of caches)",3100000.0,1993,Intel,800.0,294.0
ARM700 (32-bit; 8 KB cache),578977.0,1994,ARM,700.0,68.0
"MuP21 (21-bit,[61] 40-pin; includes video)",7000.0,1994,Offete Enterprises,1200.0,
"Motorola 68060 (32-bit, 16 KB of caches)",2500000.0,1994,Motorola,600.0,218.0
"PowerPC 601 (32-bit, 32 KB of caches)",2800000.0,1994,Apple/IBM/Motorola,600.0,121.0
"SA-110 (32-bit, 32 KB of caches)",2500000.0,1995,Acorn/DEC/Apple,350.0,50.0
"Pentium Pro (32-bit, 16 KB of caches;[64] L2 cache on-package, but on separate die)",5500000.0,1995,Intel,500.0,307.0
"AMD K5 (32-bit, caches)",4300000.0,1996,AMD,500.0,251.0
"Hitachi SH-4 (32-bit, caches)",10000000.0,1997,Hitachi,200.0,42.0
"Pentium II Klamath (32-bit, 64-bit SIMD, caches)",7500000.0,1997,Intel,350.0,195.0
"AMD K6 (32-bit, caches)",8800000.0,1997,AMD,350.0,162.0
F21 (21-bit; includes e.g. video),15000.0,1997,Offete Enterprises,,
"AVR (8-bit, 40-pin; w/memory)",140000.0,1997,Nordic VLSI/Atmel,,
"Pentium II Deschutes (32-bit, large cache)",7500000.0,1998,Intel,250.0,113.0
"ARM 9TDMI (32-bit, no cache)",111000.0,1999,Acorn,350.0,4.0
"Pentium III Katmai (32-bit, 128-bit SIMD, caches)",9500000.0,1999,Intel,250.0,128.0
"Emotion Engine (64-bit, 128-bit SIMD, cache)",13500000.0,1999,Sony/Toshiba,180.0,240.0
"Pentium II Mobile Dixon (32-bit, caches)",27400000.0,1999,Intel,180.0,180.0
"AMD K6-III (32-bit, caches)",21300000.0,1999,AMD,250.0,118.0
"AMD K7 (32-bit, caches)",22000000.0,1999,AMD,250.0,184.0
"Gekko (32-bit, large cache)",21000000.0,2000,IBM/Nintendo,180.0,43.0
"Pentium III Coppermine (32-bit, large cache)",21000000.0,2000,Intel,180.0,80.0
"Pentium 4 Willamette (32-bit, large cache)",42000000.0,2000,Intel,180.0,217.0
"SPARC64 V (64-bit, large cache)",191000000.0,2001,Fujitsu,130.0,290.0
"Pentium III Tualatin (32-bit, large cache)",45000000.0,2001,Intel,130.0,81.0
"Pentium 4 Northwood (32-bit, large cache)",55000000.0,2002,Intel,130.0,145.0
"Itanium 2 McKinley (64-bit, large cache)",220000000.0,2002,Intel,180.0,421.0
"DEC Alpha 21364 (64-bit, 946-pin, SIMD, very large caches)",152000000.0,2003,DEC,180.0,397.0
"Barton (32-bit, large cache)",54300000.0,2003,AMD,130.0,101.0
"AMD K8 (64-bit, large cache)",105900000.0,2003,AMD,130.0,193.0
Itanium 2 Madison 6M (64-bit),410000000.0,2003,Intel,130.0,374.0
"Pentium 4 Prescott (32-bit, large cache)",112000000.0,2004,Intel,90.0,110.0
"SPARC64 V+ (64-bit, large cache)",400000000.0,2004,Fujitsu,90.0,294.0
Itanium 2 (64-bit;9 MB cache),592000000.0,2004,Intel,130.0,432.0
"Pentium 4 Prescott-2M (32-bit, large cache)",169000000.0,2005,Intel,90.0,143.0
"Pentium D Smithfield (32-bit, large cache)",228000000.0,2005,Intel,90.0,206.0
