duration,msg_size,experiment,kind,background
0.07300104,268435456,loopback,ringrong,MPI_Iprobe
0.06418438,268435456,loopback,ringrong,MPI_Iprobe
0.07316061,268435456,loopback,ringrong,MPI_Iprobe
0.07314546,268435456,loopback,ringrong,MPI_Iprobe
0.07296178,268435456,loopback,ringrong,MPI_Iprobe
0.07336313,268435456,loopback,ringrong,MPI_Iprobe
0.06540813,268435456,loopback,ringrong,MPI_Iprobe
0.06525658,268435456,loopback,ringrong,MPI_Iprobe
0.06521194,268435456,loopback,ringrong,MPI_Iprobe
0.07351563,268435456,loopback,ringrong,MPI_Iprobe
0.07343619,268435456,loopback,ringrong,MPI_Iprobe
0.07360499,268435456,loopback,ringrong,MPI_Iprobe
0.07350272,268435456,loopback,ringrong,MPI_Iprobe
0.07349227,268435456,loopback,ringrong,MPI_Iprobe
0.0735581,268435456,loopback,ringrong,MPI_Iprobe
0.0653154,268435456,loopback,ringrong,MPI_Iprobe
0.06534436,268435456,loopback,ringrong,MPI_Iprobe
0.06516964,268435456,loopback,ringrong,MPI_Iprobe
0.06515213,268435456,loopback,ringrong,MPI_Iprobe
0.0652937,268435456,loopback,ringrong,MPI_Iprobe
0.06520601,268435456,loopback,ringrong,MPI_Iprobe
0.06539242,268435456,loopback,ringrong,MPI_Iprobe
0.0651223,268435456,loopback,ringrong,MPI_Iprobe
0.06532038,268435456,loopback,ringrong,MPI_Iprobe
0.07338733,268435456,loopback,ringrong,MPI_Iprobe
0.07336085,268435456,loopback,ringrong,MPI_Iprobe
0.07350904,268435456,loopback,ringrong,MPI_Iprobe
0.07349591,268435456,loopback,ringrong,MPI_Iprobe
0.07361013,268435456,loopback,ringrong,MPI_Iprobe
0.07350414,268435456,loopback,ringrong,MPI_Iprobe
0.07354227,268435456,loopback,ringrong,MPI_Iprobe
0.07341589,268435456,loopback,ringrong,MPI_Iprobe
0.07347183,268435456,loopback,ringrong,MPI_Iprobe
0.07342208,268435456,loopback,ringrong,MPI_Iprobe
0.07352958,268435456,loopback,ringrong,MPI_Iprobe
0.07362441,268435456,loopback,ringrong,MPI_Iprobe
0.07343077,268435456,loopback,ringrong,MPI_Iprobe
0.07350863,268435456,loopback,ringrong,MPI_Iprobe
0.07328483,268435456,loopback,ringrong,MPI_Iprobe
0.07342075,268435456,loopback,ringrong,MPI_Iprobe
0.07338681,268435456,loopback,ringrong,MPI_Iprobe
0.07341056,268435456,loopback,ringrong,MPI_Iprobe
0.07325169,268435456,loopback,ringrong,MPI_Iprobe
0.07354539,268435456,loopback,ringrong,MPI_Iprobe
0.07341689,268435456,loopback,ringrong,MPI_Iprobe
0.07351395,268435456,loopback,ringrong,MPI_Iprobe
0.07334952,268435456,loopback,ringrong,MPI_Iprobe
0.07333936,268435456,loopback,ringrong,MPI_Iprobe
0.07349387,268435456,loopback,ringrong,MPI_Iprobe
0.07333049,268435456,loopback,ringrong,MPI_Iprobe
0.07344104,268435456,loopback,ringrong,MPI_Iprobe
0.07349841,268435456,loopback,ringrong,MPI_Iprobe
0.07346493,268435456,loopback,ringrong,MPI_Iprobe
0.07351527,268435456,loopback,ringrong,MPI_Iprobe
0.07345272,268435456,loopback,ringrong,MPI_Iprobe
0.07352459,268435456,loopback,ringrong,MPI_Iprobe
0.07323157,268435456,loopback,ringrong,MPI_Iprobe
0.07337049,268435456,loopback,ringrong,MPI_Iprobe
0.07352643,268435456,loopback,ringrong,MPI_Iprobe
0.07334081,268435456,loopback,ringrong,MPI_Iprobe
0.07348133,268435456,loopback,ringrong,MPI_Iprobe
0.07347673,268435456,loopback,ringrong,MPI_Iprobe
0.07350659,268435456,loopback,ringrong,MPI_Iprobe
0.07333551,268435456,loopback,ringrong,MPI_Iprobe
0.07347722,268435456,loopback,ringrong,MPI_Iprobe
0.07337453,268435456,loopback,ringrong,MPI_Iprobe
0.07340294,268435456,loopback,ringrong,MPI_Iprobe
0.07337507,268435456,loopback,ringrong,MPI_Iprobe
0.07361265,268435456,loopback,ringrong,MPI_Iprobe
0.07335083,268435456,loopback,ringrong,MPI_Iprobe
0.07349254,268435456,loopback,ringrong,MPI_Iprobe
0.07338273,268435456,loopback,ringrong,MPI_Iprobe
0.07344689,268435456,loopback,ringrong,MPI_Iprobe
0.07339587,268435456,loopback,ringrong,MPI_Iprobe
0.07355905,268435456,loopback,ringrong,MPI_Iprobe
0.07320275,268435456,loopback,ringrong,MPI_Iprobe
0.07345831,268435456,loopback,ringrong,MPI_Iprobe
0.0733413,268435456,loopback,ringrong,MPI_Iprobe
0.07335056,268435456,loopback,ringrong,MPI_Iprobe
0.07343874,268435456,loopback,ringrong,MPI_Iprobe
0.07340018,268435456,loopback,ringrong,MPI_Iprobe
0.073328,268435456,loopback,ringrong,MPI_Iprobe
0.07328115,268435456,loopback,ringrong,MPI_Iprobe
0.07338736,268435456,loopback,ringrong,MPI_Iprobe
0.07353149,268435456,loopback,ringrong,MPI_Iprobe
0.07344504,268435456,loopback,ringrong,MPI_Iprobe
0.07340202,268435456,loopback,ringrong,MPI_Iprobe
0.07339301,268435456,loopback,ringrong,MPI_Iprobe
0.07340739,268435456,loopback,ringrong,MPI_Iprobe
0.07342672,268435456,loopback,ringrong,MPI_Iprobe
0.07334665,268435456,loopback,ringrong,MPI_Iprobe
0.07328138,268435456,loopback,ringrong,MPI_Iprobe
0.07340687,268435456,loopback,ringrong,MPI_Iprobe
0.07343499,268435456,loopback,ringrong,MPI_Iprobe
0.07336751,268435456,loopback,ringrong,MPI_Iprobe
0.07329322,268435456,loopback,ringrong,MPI_Iprobe
0.07341349,268435456,loopback,ringrong,MPI_Iprobe
0.07338308,268435456,loopback,ringrong,MPI_Iprobe
0.07339994,268435456,loopback,ringrong,MPI_Iprobe
0.06683401,268435456,loopback,ringrong,MPI_Iprobe
0.07228925,268435456,loopback,ringrong,MPI_Iprobe
0.06412271,268435456,loopback,ringrong,MPI_Iprobe
0.07233478,268435456,loopback,ringrong,MPI_Iprobe
0.07225791,268435456,loopback,ringrong,MPI_Iprobe
0.07219918,268435456,loopback,ringrong,MPI_Iprobe
0.0724084,268435456,loopback,ringrong,MPI_Iprobe
0.0652102,268435456,loopback,ringrong,MPI_Iprobe
