date,duration,gflops,mode
2014-04-01,15.237,1238.80,reality
2014-04-02,14.697,1284.29,reality
2014-04-03,16.094,1172.78,reality
2014-04-04,15.271,1235.98,reality
2014-04-10,16.204,1164.83,reality
2014-04-11,13.056,1445.69,reality
2014-04-12,15.468,1220.26,reality
2014-04-19,15.832,1192.24,reality
2014-04-23,12.529,1506.56,reality
2014-04-26,15.366,1228.35,reality
2014-04-29,13.541,1393.89,reality
2014-04-30,13.001,1451.87,reality
2014-05-01,16.793,1123.96,reality
2014-05-03,15.742,1199.02,reality
2014-05-04,15.196,1242.12,reality
2014-05-06,14.834,1272.41,reality
2014-05-08,12.708,1485.27,reality
2014-05-09,15.847,1191.12,reality
2014-05-23,16.148,1168.91,reality
2014-06-12,11.216,1682.81,reality
2014-06-13,11.616,1624.94,reality
2014-08-07,12.976,1454.58,reality
2014-08-08,12.956,1456.89,reality
2014-08-10,13.007,1451.19,reality
2014-08-12,10.429,1809.80,reality
2014-08-13,12.981,1454.08,reality
2014-08-14,14.482,1303.36,reality
2014-08-17,12.442,1517.01,reality
2014-08-19,13.987,1349.43,reality
2014-08-21,12.286,1536.33,reality
2014-08-24,13.380,1410.68,reality
2014-08-25,14.214,1327.96,reality
2014-08-26,14.493,1302.34,reality
2014-08-27,12.842,1469.83,reality
2014-08-28,13.060,1445.23,reality
2014-08-29,13.740,1373.69,reality
2014-08-31,14.937,1263.66,reality
2014-09-01,14.526,1299.42,reality
2014-09-05,14.414,1309.52,reality
2014-09-07,13.846,1363.20,reality
2014-09-08,14.488,1302.81,reality
2014-09-14,14.247,1324.83,reality
2014-09-15,14.700,1284.06,reality
2014-09-16,14.819,1273.75,reality
2014-09-17,14.030,1345.34,reality
2014-09-19,13.533,1394.72,reality
2014-09-21,13.791,1368.64,reality
2014-09-22,14.086,1340.01,reality
2014-09-28,13.823,1365.48,reality
2014-09-30,14.303,1319.69,reality
2014-10-01,14.941,1263.28,reality
2014-10-02,14.147,1334.19,reality
2014-10-03,14.250,1324.53,reality
2014-10-05,14.338,1316.41,reality
2014-10-06,14.909,1266.05,reality
2014-10-09,11.128,1696.15,reality
2014-10-16,11.088,1702.34,reality
2014-10-17,11.284,1672.78,reality
2014-10-19,11.549,1634.40,reality
2014-10-22,11.593,1628.12,reality
2014-10-23,11.435,1650.58,reality
2014-10-26,11.815,1597.57,reality
2014-10-27,11.677,1616.43,reality
2014-10-28,11.623,1623.88,reality
2014-10-29,11.211,1683.69,reality
2014-10-30,11.523,1638.03,reality
2014-10-31,11.620,1624.34,reality
2014-11-02,11.587,1628.95,reality
2014-11-03,11.086,1702.68,reality
2014-11-04,11.491,1642.56,reality
2014-11-05,11.607,1626.14,reality
2014-11-06,11.536,1636.24,reality
2014-11-07,11.215,1683.05,reality
2014-11-09,12.380,1524.61,reality
2014-11-10,11.787,1601.40,reality
2014-11-11,11.862,1591.27,reality
2014-11-13,11.813,1597.85,reality
2014-12-03,11.463,1646.61,reality
2014-12-04,11.466,1646.21,reality
2014-12-05,11.491,1642.63,reality
2014-12-07,12.020,1570.32,reality
2014-12-08,11.453,1647.99,reality
2014-12-10,16.359,1153.79,reality
2014-12-11,16.613,1136.15,reality
2014-12-14,12.949,1457.68,reality
2014-12-15,11.319,1667.58,reality
2014-12-16,11.545,1634.93,reality
2014-12-18,13.157,1434.60,reality
2014-12-19,12.269,1538.38,reality
2014-12-22,13.117,1438.96,reality
2014-12-22,11.781,1602.15,reality
2014-12-29,11.283,1672.93,reality
2014-12-29,11.297,1670.83,reality
2015-01-05,12.247,1541.17,reality
2015-01-06,11.437,1650.40,reality
2015-01-07,12.155,1552.92,reality
2015-01-08,11.266,1675.36,reality
2015-01-09,11.850,1592.87,reality
2015-01-11,11.865,1590.85,reality
2015-01-12,11.712,1611.67,reality
2015-01-13,11.516,1638.98,reality
2015-01-14,11.270,1674.78,reality
2015-01-15,11.579,1630.09,reality
2015-01-16,11.584,1629.44,reality
2015-01-18,11.803,1599.24,reality
2015-01-19,11.476,1644.71,reality
2015-01-20,11.410,1654.25,reality
2015-01-21,11.510,1639.91,reality
2015-01-22,11.530,1637.09,reality
2015-01-25,12.332,1530.56,reality
2015-01-26,11.475,1644.82,reality
2015-01-27,12.100,1559.94,reality
2015-01-28,11.987,1574.61,reality
2015-01-29,12.367,1526.23,reality
2015-01-30,11.873,1589.74,reality
2015-02-01,11.851,1592.75,reality
2015-02-02,11.825,1596.22,reality
2015-02-03,11.426,1651.90,reality
2015-02-06,11.473,1645.22,reality
2015-02-08,11.391,1657.07,reality
2015-02-10,11.644,1621.03,reality
2015-02-11,11.550,1634.25,reality
2015-02-12,11.107,1699.32,reality
2015-02-22,11.146,1693.38,reality
2015-02-23,12.460,1514.84,reality
2015-03-06,11.309,1668.97,reality
2015-03-16,11.286,1672.42,reality
2015-03-16,11.001,1715.84,reality
2015-03-16,11.673,1616.97,reality
2015-03-16,11.393,1656.70,reality
2015-03-17,11.582,1629.73,reality
2015-03-18,11.382,1658.36,reality
2015-03-19,11.217,1682.79,reality
2015-03-20,11.188,1687.04,reality
2015-03-23,11.438,1650.26,reality
2015-03-23,11.340,1664.46,reality
2015-03-23,11.439,1650.03,reality
2015-03-23,11.396,1656.29,reality
2015-03-23,11.220,1682.32,reality
2015-03-23,11.321,1667.22,reality
2015-03-23,11.074,1704.42,reality
2015-03-23,11.074,1704.44,reality
2015-03-23,11.003,1715.52,reality
2015-03-23,11.753,1605.94,reality
2015-03-23,11.049,1708.37,reality
2015-03-24,11.283,1672.83,reality
2015-03-24,11.772,1603.40,reality
2015-03-25,11.168,1690.14,reality
2015-03-25,10.537,1791.40,reality
2015-03-26,10.656,1771.32,reality
2015-03-26,20.180,1826.82,reality
2015-03-26,20.273,1818.43,reality
2015-03-26,20.274,1818.35,reality
2015-03-31,20.283,1817.57,reality
2015-03-31,20.362,1810.52,reality
2015-04-01,20.299,1816.10,reality
2015-04-02,20.464,1801.48,reality
2015-04-03,20.434,1804.09,reality
2015-04-03,20.381,1808.84,reality
2015-04-03,20.107,1833.49,reality
2015-04-04,20.160,1828.65,reality
2015-04-06,20.271,1818.62,reality
2015-04-07,20.260,1819.61,reality
2015-04-07,20.163,1828.36,reality
2015-04-08,20.386,1808.32,reality
2015-04-09,20.306,1815.51,reality
2015-04-09,20.247,1820.78,reality
2015-04-09,20.257,1819.87,reality
2015-04-10,20.277,1818.11,reality
2015-04-11,20.206,1824.46,reality
