date,duration,gflops,mode
2014-04-01,11.032,1710.99,simulation
2014-04-02,11.032,1710.99,simulation
2014-04-03,11.079,1703.75,simulation
2014-04-04,11.010,1714.36,simulation
2014-04-10,11.051,1708.03,simulation
2014-04-11,11.051,1708.03,simulation
2014-04-19,11.051,1708.03,simulation
2014-04-23,11.051,1708.03,simulation
2014-04-26,11.051,1708.03,simulation
2014-04-29,11.025,1712.02,simulation
2014-04-30,11.051,1708.03,simulation
2014-05-01,11.029,1711.37,simulation
2014-05-03,11.029,1711.37,simulation
2014-05-04,11.029,1711.37,simulation
2014-05-06,11.029,1711.37,simulation
2014-05-08,11.029,1711.37,simulation
2014-05-09,11.029,1711.37,simulation
2014-05-23,11.064,1705.99,simulation
2014-05-24,11.058,1706.90,simulation
2014-05-27,11.038,1710.09,simulation
2014-05-28,11.038,1709.94,simulation
2014-06-12,11.056,1707.16,simulation
2014-06-13,11.076,1704.19,simulation
2014-08-07,11.057,1707.08,simulation
2014-08-08,11.057,1707.08,simulation
2014-08-10,11.057,1707.08,simulation
2014-08-12,11.054,1707.56,simulation
2014-08-13,11.057,1707.08,simulation
2014-08-14,10.978,1719.35,simulation
2014-08-17,10.978,1719.35,simulation
2014-08-19,10.978,1719.35,simulation
2014-08-21,10.978,1719.35,simulation
2014-08-24,10.978,1719.35,simulation
2014-08-25,10.978,1719.35,simulation
2014-08-26,10.978,1719.35,simulation
2014-08-27,10.978,1719.35,simulation
2014-08-28,10.980,1719.07,simulation
2014-08-29,11.009,1714.48,simulation
2014-08-31,11.009,1714.48,simulation
2014-09-01,11.008,1714.63,simulation
2014-09-05,11.032,1710.87,simulation
2014-09-07,11.032,1710.87,simulation
2014-09-08,11.032,1710.87,simulation
2014-09-14,10.966,1721.31,simulation
2014-09-15,10.966,1721.31,simulation
2014-09-16,10.966,1721.31,simulation
2014-09-17,10.952,1723.48,simulation
2014-09-21,10.952,1723.48,simulation
2014-09-22,10.952,1723.48,simulation
2014-09-28,10.952,1723.48,simulation
2014-09-29,10.938,1725.62,simulation
2014-09-30,10.948,1724.12,simulation
2014-10-01,10.953,1723.33,simulation
2014-10-02,10.966,1721.30,simulation
2014-10-03,10.979,1719.12,simulation
2014-10-05,10.939,1725.56,simulation
2014-10-06,10.948,1724.04,simulation
2014-10-09,11.009,1714.51,simulation
2014-10-16,10.959,1722.41,simulation
2014-10-17,10.959,1722.41,simulation
2014-10-19,10.959,1722.41,simulation
2014-10-22,10.960,1722.17,simulation
2014-10-23,11.005,1715.16,simulation
2014-10-26,10.989,1717.60,simulation
2014-10-27,10.989,1717.60,simulation
2014-10-28,10.987,1717.89,simulation
2014-10-29,10.978,1719.41,simulation
2014-10-31,10.989,1717.59,simulation
2014-11-02,10.989,1717.59,simulation
2014-11-03,10.989,1717.59,simulation
2014-11-04,10.989,1717.59,simulation
2014-11-05,10.989,1717.59,simulation
2014-11-06,10.989,1717.59,simulation
2014-11-07,10.998,1716.17,simulation
2014-11-09,10.998,1716.17,simulation
2014-11-10,10.998,1716.17,simulation
2014-11-11,10.998,1716.17,simulation
2014-11-13,10.998,1716.17,simulation
2014-11-15,10.998,1716.17,simulation
2014-11-16,10.998,1716.17,simulation
2014-11-17,10.998,1716.17,simulation
2014-11-17,10.998,1716.17,simulation
2014-11-18,10.998,1716.17,simulation
2014-11-19,10.998,1716.17,simulation
2014-11-20,10.948,1724.09,simulation
2014-11-21,10.948,1724.09,simulation
2014-11-22,10.948,1724.09,simulation
2014-11-23,10.948,1724.09,simulation
