jobid,expfile,m,n,k,node,cpu,duration
1960066,exp_dgemm_c.csv,775,8970,720,8,0,0.3880217
1960066,exp_dgemm_c.csv,1459,4731,821,8,0,0.4252299
1960066,exp_dgemm_c.csv,1744,978,4493,8,0,0.5810331
1960066,exp_dgemm_c.csv,743,1386,9703,8,0,0.7672958000000001
1960066,exp_dgemm_c.csv,535,1202,5696,8,0,0.29434
1960066,exp_dgemm_c.csv,1415,2749,259,8,0,0.07539427
1960066,exp_dgemm_c.csv,1373,5486,1284,8,0,0.7158254
1960066,exp_dgemm_c.csv,775,720,8970,8,0,0.3838974
1960066,exp_dgemm_c.csv,821,4731,1459,8,0,0.42419409999999996
1960066,exp_dgemm_c.csv,2128,2883,706,8,0,0.3159499
1960066,exp_dgemm_c.csv,1406,406,8168,8,0,0.37673
1960066,exp_dgemm_c.csv,3637,5656,340,8,0,0.4958924
1960066,exp_dgemm_c.csv,1492,2613,771,8,0,0.22483360000000002
1960066,exp_dgemm_c.csv,609,2792,981,8,0,0.12953299999999998
1960066,exp_dgemm_c.csv,1584,608,3121,8,0,0.2318419
1960066,exp_dgemm_c.csv,6848,275,1237,8,0,0.1862191
1960066,exp_dgemm_c.csv,411,7121,2050,8,0,0.4702692
1960066,exp_dgemm_c.csv,945,774,13661,8,0,0.7880901
1960066,exp_dgemm_c.csv,1237,6848,275,8,0,0.1771811
1960066,exp_dgemm_c.csv,370,1131,4780,8,0,0.16351310000000002
1960066,exp_dgemm_c.csv,930,10068,321,8,0,0.22088490000000002
1960066,exp_dgemm_c.csv,945,13661,774,8,0,0.7746026999999999
1960066,exp_dgemm_c.csv,4731,821,1459,8,0,0.4349817
1960066,exp_dgemm_c.csv,3257,1276,1683,8,0,0.5324004
1960066,exp_dgemm_c.csv,2945,418,6225,8,0,0.617891
1960066,exp_dgemm_c.csv,1237,275,6848,8,0,0.20035139999999999
1960066,exp_dgemm_c.csv,6702,1291,733,8,0,0.47595370000000004
1960066,exp_dgemm_c.csv,393,241,10636,8,0,0.09013318
1960066,exp_dgemm_c.csv,5206,4976,129,8,0,0.24400389999999997
