expfile,m,n,k
exp_512_29.csv,2287,5977,512
exp_512_29.csv,3574,3092,512
exp_512_29.csv,9439,1241,512
exp_512_29.csv,1292,5024,512
exp_512_29.csv,1806,8283,512
exp_512_29.csv,498,6517,512
exp_512_29.csv,1296,8033,512
exp_512_29.csv,2169,2708,512
exp_512_29.csv,1804,9025,512
exp_512_29.csv,2765,6126,512
exp_512_29.csv,3231,3420,512
exp_512_29.csv,3052,4699,512
exp_512_29.csv,8055,968,512
exp_512_29.csv,1609,2827,512
exp_512_29.csv,625,2077,512
exp_512_29.csv,3510,747,512
exp_512_29.csv,7327,1421,512
exp_512_29.csv,5478,954,512
exp_512_29.csv,3249,3805,512
exp_512_29.csv,1743,5611,512
exp_512_29.csv,4017,2916,512
exp_512_29.csv,10483,1304,512
exp_512_29.csv,7861,2317,512
exp_512_29.csv,8201,2221,512
exp_512_29.csv,370,3509,512
exp_512_29.csv,5756,1469,512
exp_512_29.csv,10213,701,512
exp_512_29.csv,2292,4267,512
exp_512_29.csv,968,8055,512
exp_512_29.csv,2627,7438,512
exp_512_29.csv,986,1317,512
exp_512_29.csv,3283,3568,512
exp_512_29.csv,2557,2297,512
exp_512_29.csv,7438,2627,512
exp_512_29.csv,14034,1345,512
exp_512_29.csv,3080,5711,512
exp_512_29.csv,13084,1096,512
exp_512_29.csv,2750,1421,512
exp_512_29.csv,1076,599,512
exp_512_29.csv,14381,588,512
exp_512_29.csv,1385,8926,512
exp_512_29.csv,1628,1993,512
exp_512_29.csv,5611,1743,512
exp_512_29.csv,1182,6057,512
exp_512_29.csv,2708,2169,512
exp_512_29.csv,2317,7861,512
exp_512_29.csv,2686,6781,512
exp_512_29.csv,1352,1940,512
exp_512_29.csv,3149,5170,512
exp_512_29.csv,1919,5097,512
exp_512_29.csv,2065,8203,512
exp_512_29.csv,6025,755,512
exp_512_29.csv,747,3510,512
exp_512_29.csv,2221,8201,512
exp_512_29.csv,9219,989,512
exp_512_29.csv,5024,1292,512
exp_512_29.csv,1469,5756,512
exp_512_29.csv,5847,3342,512
exp_512_29.csv,2174,907,512
exp_512_29.csv,4835,3638,512
exp_512_29.csv,2297,2557,512
exp_512_29.csv,1012,4495,512
exp_512_29.csv,2876,2711,512
exp_512_29.csv,5749,909,512
exp_512_29.csv,907,2174,512
exp_512_29.csv,2717,5031,512
exp_512_29.csv,3443,4537,512
exp_512_29.csv,779,828,512
exp_512_29.csv,1421,2750,512
exp_512_29.csv,957,6783,512
exp_512_29.csv,652,13984,512
exp_512_29.csv,14623,1023,512
exp_512_29.csv,1156,12405,512
exp_512_29.csv,5042,1420,512
exp_512_29.csv,701,10213,512
exp_512_29.csv,4495,1012,512
exp_512_29.csv,1241,9439,512
exp_512_29.csv,1304,10483,512
exp_512_29.csv,1958,7978,512
exp_512_29.csv,2711,2876,512
exp_512_29.csv,909,5749,512
exp_512_29.csv,1096,13084,512
exp_512_29.csv,819,7171,512
exp_512_29.csv,1245,15162,512
exp_512_29.csv,3092,3574,512
exp_512_29.csv,6591,2570,512
exp_512_29.csv,7978,1958,512
exp_512_29.csv,1215,3216,512
exp_512_29.csv,1786,1104,512
exp_512_29.csv,8926,1385,512
exp_512_29.csv,3374,5595,512
exp_512_29.csv,6783,957,512
exp_512_29.csv,6311,1340,512
exp_512_29.csv,1317,986,512
exp_512_29.csv,5097,1919,512
exp_512_29.csv,2048,2048,2048
exp_512_29.csv,599,1076,512
exp_512_29.csv,1104,1786,512
exp_512_29.csv,3805,3249,512
exp_512_29.csv,989,9219,512
exp_512_29.csv,588,14381,512
exp_512_29.csv,8203,2065,512
exp_512_29.csv,1940,1352,512
exp_512_29.csv,918,14181,512
exp_512_29.csv,4699,3052,512
exp_512_29.csv,2570,6591,512
exp_512_29.csv,4083,1280,512
exp_512_29.csv,4,4,4
exp_512_29.csv,2391,2715,512
exp_512_29.csv,2916,4017,512
exp_512_29.csv,2077,625,512
exp_512_29.csv,2245,3473,512
exp_512_29.csv,1111,11718,512
exp_512_29.csv,5567,583,512
exp_512_29.csv,13984,652,512
exp_512_29.csv,755,6025,512
exp_512_29.csv,3216,1215,512
exp_512_29.csv,1986,8857,512
exp_512_29.csv,2122,929,512
exp_512_29.csv,1038,11911,512
exp_512_29.csv,828,779,512
exp_512_29.csv,2715,2391,512
exp_512_29.csv,12405,1156,512
exp_512_29.csv,8857,1986,512
exp_512_29.csv,2,2,2
exp_512_29.csv,3420,3231,512
exp_512_29.csv,5595,3374,512
exp_512_29.csv,5977,2287,512
exp_512_29.csv,3568,3283,512
exp_512_29.csv,7171,819,512
exp_512_29.csv,12306,846,512
exp_512_29.csv,1620,9642,512
exp_512_29.csv,1421,7327,512
exp_512_29.csv,1,1,1
exp_512_29.csv,14181,918,512
exp_512_29.csv,1280,4083,512
exp_512_29.csv,15162,1245,512
exp_512_29.csv,8283,1806,512
exp_512_29.csv,1527,7236,512
exp_512_29.csv,1416,2760,512
exp_512_29.csv,3342,5847,512
exp_512_29.csv,954,5478,512
exp_512_29.csv,929,2122,512
exp_512_29.csv,534,1207,512
exp_512_29.csv,3473,2245,512
exp_512_29.csv,12144,1609,512
exp_512_29.csv,1420,5042,512
exp_512_29.csv,5170,3149,512
exp_512_29.csv,11301,1152,512
exp_512_29.csv,3,3,3
exp_512_29.csv,3412,2672,512
exp_512_29.csv,4267,2292,512
exp_512_29.csv,583,5567,512
exp_512_29.csv,5711,3080,512
exp_512_29.csv,5013,3248,512
exp_512_29.csv,9642,1620,512
exp_512_29.csv,1207,534,512
exp_512_29.csv,3638,4835,512
exp_512_29.csv,1023,14623,512
exp_512_29.csv,6517,498,512
exp_512_29.csv,2541,1032,512
exp_512_29.csv,2679,5584,512
exp_512_29.csv,1032,2541,512
exp_512_29.csv,11911,1038,512
exp_512_29.csv,846,12306,512
exp_512_29.csv,1609,12144,512
exp_512_29.csv,2827,1609,512
exp_512_29.csv,5031,2717,512
exp_512_29.csv,5584,2679,512
exp_512_29.csv,1152,11301,512
exp_512_29.csv,7236,1527,512
exp_512_29.csv,6781,2686,512
exp_512_29.csv,11718,1111,512
exp_512_29.csv,3509,370,512
exp_512_29.csv,1340,6311,512
exp_512_29.csv,2672,3412,512
exp_512_29.csv,9025,1804,512
exp_512_29.csv,8033,1296,512
exp_512_29.csv,1993,1628,512
exp_512_29.csv,4537,3443,512
exp_512_29.csv,6126,2765,512
exp_512_29.csv,2760,1416,512
exp_512_29.csv,1345,14034,512
exp_512_29.csv,3248,5013,512
exp_512_29.csv,6057,1182,512
exp_256_20.csv,5939,876,256
exp_256_20.csv,10237,3051,256
exp_256_20.csv,7069,4049,256
exp_256_20.csv,2795,4179,256
exp_256_20.csv,9591,2304,256
exp_256_20.csv,5002,4693,256
exp_256_20.csv,4329,3609,256
exp_256_20.csv,2755,4240,256
exp_256_20.csv,1515,13743,256
exp_256_20.csv,8921,4379,256
exp_256_20.csv,2858,1375,256
exp_256_20.csv,3222,4444,256
exp_256_20.csv,2579,7075,256
exp_256_20.csv,5841,2233,256
exp_256_20.csv,2892,3608,256
exp_256_20.csv,3051,10237,256
exp_256_20.csv,13158,2081,256
exp_256_20.csv,8452,2926,256
exp_256_20.csv,2395,12506,256
exp_256_20.csv,4654,1684,256
exp_256_20.csv,3859,4048,256
exp_256_20.csv,4635,7016,256
exp_256_20.csv,4815,4049,256
exp_256_20.csv,4178,4983,256
exp_256_20.csv,5519,2594,256
exp_256_20.csv,4693,5002,256
exp_256_20.csv,12943,2314,256
exp_256_20.csv,486,10705,256
exp_256_20.csv,6361,411,256
exp_256_20.csv,10095,3740,256
exp_256_20.csv,10770,1211,256
exp_256_20.csv,2048,2048,2048
exp_256_20.csv,1375,2858,256
exp_256_20.csv,1878,10380,256
exp_256_20.csv,7513,1736,256
exp_256_20.csv,2997,2163,256
exp_256_20.csv,3359,8521,256
exp_256_20.csv,5653,6444,256
exp_256_20.csv,1674,9333,256
exp_256_20.csv,3552,4031,256
exp_256_20.csv,1371,7610,256
exp_256_20.csv,9417,3592,256
exp_256_20.csv,6717,3682,256
exp_256_20.csv,5763,6103,256
exp_256_20.csv,10705,486,256
exp_256_20.csv,8075,3868,256
exp_256_20.csv,4827,1889,256
exp_256_20.csv,1692,13060,256
exp_256_20.csv,840,13906,256
exp_256_20.csv,3608,2892,256
exp_256_20.csv,7747,4702,256
exp_256_20.csv,7671,4239,256
exp_256_20.csv,1337,4849,256
exp_256_20.csv,4048,3859,256
exp_256_20.csv,4379,8921,256
exp_256_20.csv,4404,8271,256
exp_256_20.csv,913,1460,256
exp_256_20.csv,9582,543,256
exp_256_20.csv,876,5939,256
exp_256_20.csv,543,9582,256
exp_256_20.csv,9778,3597,256
exp_256_20.csv,2635,3959,256
exp_256_20.csv,5198,3510,256
exp_256_20.csv,10736,730,256
exp_256_20.csv,13060,1692,256
exp_256_20.csv,2314,12943,256
exp_256_20.csv,4983,4178,256
exp_256_20.csv,7016,4635,256
exp_256_20.csv,1889,4827,256
exp_256_20.csv,1460,913,256
exp_256_20.csv,8201,3652,256
exp_256_20.csv,12131,1397,256
exp_256_20.csv,3592,9417,256
exp_256_20.csv,7075,2579,256
exp_256_20.csv,2,2,2
exp_256_20.csv,4443,5870,256
exp_256_20.csv,5149,5318,256
exp_256_20.csv,14527,2599,256
exp_256_20.csv,4031,3552,256
exp_256_20.csv,1211,10770,256
exp_256_20.csv,15372,2288,256
exp_256_20.csv,5760,4076,256
exp_256_20.csv,2873,7691,256
exp_256_20.csv,4700,3882,256
exp_256_20.csv,3879,8383,256
exp_256_20.csv,4702,7747,256
exp_256_20.csv,1700,784,256
exp_256_20.csv,812,3220,256
exp_256_20.csv,2160,14460,256
exp_256_20.csv,1736,7513,256
exp_256_20.csv,6733,3873,256
exp_256_20.csv,3494,9681,256
exp_256_20.csv,8155,961,256
exp_256_20.csv,9377,419,256
exp_256_20.csv,3721,7359,256
exp_256_20.csv,10380,1878,256
exp_256_20.csv,730,10736,256
exp_256_20.csv,3652,8201,256
exp_256_20.csv,8271,4404,256
exp_256_20.csv,4240,2755,256
exp_256_20.csv,3,3,3
exp_256_20.csv,1,1,1
exp_256_20.csv,5870,4443,256
exp_256_20.csv,3510,5198,256
exp_256_20.csv,1441,4499,256
exp_256_20.csv,903,10099,256
exp_256_20.csv,4499,1441,256
exp_256_20.csv,2599,14527,256
exp_256_20.csv,1142,1167,256
exp_256_20.csv,1545,1692,256
exp_256_20.csv,6444,5653,256
exp_256_20.csv,5184,4016,256
exp_256_20.csv,5318,5149,256
exp_256_20.csv,7472,3310,256
exp_256_20.csv,6103,5763,256
exp_256_20.csv,4068,9603,256
exp_256_20.csv,2594,5519,256
exp_256_20.csv,2288,15372,256
exp_256_20.csv,2598,6523,256
exp_256_20.csv,10099,903,256
exp_256_20.csv,961,8155,256
exp_256_20.csv,4049,7069,256
exp_256_20.csv,10022,3898,256
exp_256_20.csv,4735,1926,256
exp_256_20.csv,4049,4815,256
exp_256_20.csv,5292,4928,256
exp_256_20.csv,3682,6717,256
exp_256_20.csv,3597,9778,256
exp_256_20.csv,3609,4329,256
exp_256_20.csv,6992,2788,256
exp_256_20.csv,4016,5184,256
exp_256_20.csv,3959,2635,256
exp_256_20.csv,449,8751,256
exp_256_20.csv,4076,5760,256
exp_256_20.csv,4,4,4
exp_256_20.csv,4654,5044,256
exp_256_20.csv,9603,4068,256
exp_256_20.csv,9607,3930,256
exp_256_20.csv,8383,3879,256
exp_256_20.csv,8751,449,256
exp_256_20.csv,2788,6992,256
exp_256_20.csv,2926,8452,256
exp_256_20.csv,1926,4735,256
exp_256_20.csv,3220,812,256
exp_256_20.csv,3898,10022,256
exp_256_20.csv,3882,4700,256
exp_256_20.csv,2932,11537,256
exp_256_20.csv,11537,1469,256
exp_256_20.csv,419,9377,256
exp_256_20.csv,1469,11537,256
exp_256_20.csv,4928,5292,256
exp_256_20.csv,1167,1142,256
exp_256_20.csv,1692,1545,256
exp_256_20.csv,8521,3359,256
exp_256_20.csv,2233,5841,256
exp_256_20.csv,3930,9607,256
exp_256_20.csv,784,1700,256
exp_256_20.csv,5413,5287,256
exp_256_20.csv,7610,1371,256
exp_256_20.csv,7691,2873,256
exp_256_20.csv,5044,4654,256
exp_256_20.csv,13906,840,256
exp_256_20.csv,4444,3222,256
exp_256_20.csv,411,6361,256
exp_256_20.csv,2304,9591,256
exp_256_20.csv,9333,1674,256
exp_256_20.csv,4849,1337,256
exp_256_20.csv,14460,2160,256
exp_256_20.csv,2163,2997,256
exp_256_20.csv,3310,7472,256
exp_256_20.csv,6523,2598,256
exp_256_20.csv,3740,10095,256
exp_256_20.csv,4179,2795,256
exp_256_20.csv,9681,3494,256
exp_256_20.csv,13743,1515,256
exp_256_20.csv,4239,7671,256
exp_256_20.csv,1397,12131,256
exp_256_20.csv,11537,2932,256
exp_256_20.csv,1684,4654,256
exp_256_20.csv,5287,5413,256
exp_256_20.csv,12506,2395,256
exp_256_20.csv,2081,13158,256
exp_256_20.csv,3873,6733,256
exp_256_20.csv,7359,3721,256
exp_256_20.csv,3868,8075,256
exp_128_01.csv,4,4,4
exp_128_01.csv,4599,7941,128
exp_128_01.csv,11504,5891,128
exp_128_01.csv,4771,11993,128
exp_128_01.csv,9319,3349,128
exp_128_01.csv,5527,9436,128
exp_128_01.csv,4176,9359,128
exp_128_01.csv,12423,5455,128
exp_128_01.csv,1351,15443,128
