jobid,expfile,m,n,k,node,cpu,duration
1965808,exp_128_01.csv,4,4,4,5,0,2.874e-06
1965808,exp_128_01.csv,4599,7941,128,5,0,0.35248379999999996
1965808,exp_128_01.csv,11504,5891,128,5,0,0.6341209
1965808,exp_128_01.csv,4771,11993,128,5,0,0.5310592
1965808,exp_128_01.csv,9319,3349,128,5,0,0.29132009999999997
1965808,exp_128_01.csv,5527,9436,128,5,0,0.484925
1965808,exp_128_01.csv,4176,9359,128,5,0,0.362982
1965808,exp_128_01.csv,12423,5455,128,5,0,0.6252783000000001
1965808,exp_128_01.csv,1351,15443,128,5,0,0.20235479999999997
1965808,exp_128_01.csv,7574,7555,128,5,0,0.5277892
1965808,exp_128_01.csv,7363,6020,128,5,0,0.4096821
1965808,exp_128_01.csv,2934,4441,128,5,0,0.1217738
1965808,exp_128_01.csv,7555,7574,128,5,0,0.5262569
1965808,exp_128_01.csv,11582,5177,128,5,0,0.5637705
1965808,exp_128_01.csv,7220,7577,128,5,0,0.5066202999999999
1965808,exp_128_01.csv,2390,3240,128,5,0,0.07285284
1965808,exp_128_01.csv,14110,2025,128,5,0,0.2642036
1965808,exp_128_01.csv,11643,6716,128,5,0,0.7192363
1965808,exp_128_01.csv,7337,6747,128,5,0,0.45728149999999995
1965808,exp_128_01.csv,1018,10257,128,5,0,0.10089760000000002
1965808,exp_128_01.csv,11993,4771,128,5,0,0.5270443
1965808,exp_128_01.csv,3670,10649,128,5,0,0.3663028
1965808,exp_128_01.csv,7843,6975,128,5,0,0.5126782999999999
1965808,exp_128_01.csv,1534,13601,128,5,0,0.1981052
1965808,exp_128_01.csv,6895,4144,128,5,0,0.2623533
1965808,exp_128_01.csv,6356,6973,128,5,0,0.4082201
1965808,exp_128_01.csv,6315,1226,128,5,0,0.07334921
1965808,exp_128_01.csv,5350,4872,128,5,0,0.24230839999999998
1965808,exp_128_01.csv,6974,10465,128,5,0,0.6814601
1965808,exp_128_01.csv,5125,4568,128,5,0,0.21770879999999998
1965808,exp_128_01.csv,4924,11620,128,5,0,0.5315057
1965808,exp_128_01.csv,1957,9299,128,5,0,0.1718172
1965808,exp_128_01.csv,10465,6974,128,5,0,0.6714095999999999
1965808,exp_128_01.csv,5794,10349,128,5,0,0.5529013
1965808,exp_128_01.csv,9723,6703,128,5,0,0.6021181999999999
1965808,exp_128_01.csv,2086,5005,128,5,0,0.09914719
1965808,exp_128_01.csv,4441,2934,128,5,0,0.1216155
1965808,exp_128_01.csv,4227,7993,128,5,0,0.31552420000000003
1965808,exp_128_01.csv,10894,5504,128,5,0,0.5553186999999999
1965808,exp_128_01.csv,1226,6315,128,5,0,0.07560144
1965808,exp_128_01.csv,5659,8288,128,5,0,0.4384746
1965808,exp_128_01.csv,10463,5972,128,5,0,0.5829178
1965808,exp_128_01.csv,7693,10164,128,5,0,0.7238591999999999
1965808,exp_128_01.csv,5504,10894,128,5,0,0.5566544
1965808,exp_128_01.csv,4787,10341,128,5,0,0.45905909999999994
1965808,exp_128_01.csv,9055,571,128,5,0,0.04963722
1965808,exp_128_01.csv,2,2,2,5,0,2.209e-06
1965808,exp_128_01.csv,9299,1957,128,5,0,0.16898120000000003
1965808,exp_128_01.csv,3914,9331,128,5,0,0.3402087
1965808,exp_128_01.csv,13885,1686,128,5,0,0.2171896
1965808,exp_128_01.csv,5005,2086,128,5,0,0.09705202
1965808,exp_128_01.csv,3131,6664,128,5,0,0.19554000000000002
1965808,exp_128_01.csv,7212,4685,128,5,0,0.31841620000000004
1965808,exp_128_01.csv,7632,9899,128,5,0,0.7013781
1965808,exp_128_01.csv,3240,2390,128,5,0,0.07137792
1965808,exp_128_01.csv,4241,6737,128,5,0,0.26470309999999997
1965808,exp_128_01.csv,9765,4539,128,5,0,0.41759929999999995
1965808,exp_128_01.csv,6716,11643,128,5,0,0.7223876
1965808,exp_128_01.csv,8600,6361,128,5,0,0.5058145000000001
1965808,exp_128_01.csv,6091,5547,128,5,0,0.3115102
1965808,exp_128_01.csv,9331,3914,128,5,0,0.33762990000000004
1965808,exp_128_01.csv,579,4420,128,5,0,0.02702804
1965808,exp_128_01.csv,5922,7030,128,5,0,0.384839
1965808,exp_128_01.csv,3,3,3,5,0,2.458e-06
1965808,exp_128_01.csv,11784,6411,128,5,0,0.6878516
1965808,exp_128_01.csv,5733,11821,128,5,0,0.6294813
1965808,exp_128_01.csv,11821,5733,128,5,0,0.6257826999999999
1965808,exp_128_01.csv,4513,567,128,5,0,0.02522439
1965808,exp_128_01.csv,11091,6345,128,5,0,0.6486638000000001
1965808,exp_128_01.csv,10649,3670,128,5,0,0.37171570000000004
1965808,exp_128_01.csv,6345,11091,128,5,0,0.6490670000000001
1965808,exp_128_01.csv,9351,5016,128,5,0,0.43391130000000006
1965808,exp_128_01.csv,8047,7765,128,5,0,0.5793666999999999
1965808,exp_128_01.csv,12610,614,128,5,0,0.07457604
1965808,exp_128_01.csv,7577,7220,128,5,0,0.5032515999999999
1965808,exp_128_01.csv,7030,5922,128,5,0,0.38475240000000005
1965808,exp_128_01.csv,4539,9765,128,5,0,0.41053149999999994
1965808,exp_128_01.csv,8288,5659,128,5,0,0.43287890000000007
1965808,exp_128_01.csv,2621,13935,128,5,0,0.3444877
1965808,exp_128_01.csv,3602,11557,128,5,0,0.3898606
1965808,exp_128_01.csv,10935,1423,128,5,0,0.1464044
1965808,exp_128_01.csv,15443,1351,128,5,0,0.194976
