node,cpu,kind,expfile,exp_kind,start_time,value,subgroup
5,0,frequency,exp_dgemm_independent-sizes_1.csv,independent sizes,1606804897.4976609,2.085386538659794,
5,0,frequency,exp_dgemm_independent-sizes_2.csv,independent sizes,1606797118.542308,2.0837156314432965,
5,0,frequency,exp_dgemm_independent-sizes_3.csv,independent sizes,1606777804.64556,2.120347025773193,
5,0,frequency,exp_dgemm_independent-sizes_5.csv,independent sizes,1606783674.8298,2.106600184558823,
5,0,frequency,exp_dgemm_independent-sizes_6.csv,independent sizes,1606800913.3189461,2.0759921920103097,
5,0,frequency,exp_dgemm_independent-sizes_7.csv,independent sizes,1606775930.9081979,2.0804585602941175,
5,0,frequency,exp_dgemm_independent-sizes_8.csv,independent sizes,1606799049.66113,2.116025324127908,
5,0,frequency,exp_dgemm_uniform-product_1.csv,uniform product,1606793148.450793,2.0826442345183476,
5,0,frequency,exp_dgemm_uniform-product_2.csv,uniform product,1606802846.8377962,2.0520724938016426,
5,0,frequency,exp_dgemm_uniform-product_3.csv,uniform product,1606795128.618518,2.0781872500000027,
5,0,frequency,exp_dgemm_uniform-product_4.csv,uniform product,1606791160.3963299,2.047283761467891,
5,0,frequency,exp_dgemm_uniform-product_5.csv,uniform product,1606779737.4527612,2.05481501720183,
5,0,frequency,exp_dgemm_uniform-product_6.csv,uniform product,1606785543.645348,2.0677447928718986,
5,0,frequency,exp_dgemm_uniform-product_7.csv,uniform product,1606789220.683467,2.0543462493556697,
5,0,frequency,exp_dgemm_uniform-product_8.csv,uniform product,1606781742.398974,2.1025115837628854,
5,0,temperature,exp_dgemm_independent-sizes_1.csv,independent sizes,1606804897.4976609,78.39948453608247,
5,0,temperature,exp_dgemm_independent-sizes_2.csv,independent sizes,1606797118.542308,78.9903350515464,
5,0,temperature,exp_dgemm_independent-sizes_3.csv,independent sizes,1606777804.64556,75.17268041237114,
5,0,temperature,exp_dgemm_independent-sizes_5.csv,independent sizes,1606783674.8298,75.71617647058824,
5,0,temperature,exp_dgemm_independent-sizes_6.csv,independent sizes,1606800913.3189461,78.82023195876289,
5,0,temperature,exp_dgemm_independent-sizes_7.csv,independent sizes,1606775930.9081979,78.87720588235294,
5,0,temperature,exp_dgemm_independent-sizes_8.csv,independent sizes,1606799049.66113,75.81758720930233,
5,0,temperature,exp_dgemm_uniform-product_1.csv,uniform product,1606793148.450793,78.6341743119266,
5,0,temperature,exp_dgemm_uniform-product_2.csv,uniform product,1606802846.8377962,79.11776859504133,
5,0,temperature,exp_dgemm_uniform-product_3.csv,uniform product,1606795128.618518,78.6829128440367,
5,0,temperature,exp_dgemm_uniform-product_4.csv,uniform product,1606791160.3963299,78.59633027522936,
5,0,temperature,exp_dgemm_uniform-product_5.csv,uniform product,1606779737.4527612,79.06651376146789,
5,0,temperature,exp_dgemm_uniform-product_6.csv,uniform product,1606785543.645348,78.50981404958678,
5,0,temperature,exp_dgemm_uniform-product_7.csv,uniform product,1606789220.683467,79.06636597938144,
5,0,temperature,exp_dgemm_uniform-product_8.csv,uniform product,1606781742.398974,72.55090206185567,
