expfile,m,n,k
exp_dgemm_independent-sizes_1.csv,9082,3288,330
exp_dgemm_independent-sizes_1.csv,6871,111,2419
exp_dgemm_independent-sizes_1.csv,7176,941,139
exp_dgemm_independent-sizes_1.csv,2122,1329,2538
exp_dgemm_independent-sizes_1.csv,135,2417,3465
exp_dgemm_independent-sizes_1.csv,4936,2521,100
exp_dgemm_independent-sizes_1.csv,234,770,2785
exp_dgemm_independent-sizes_1.csv,8753,1067,1041
exp_dgemm_independent-sizes_1.csv,8644,1529,250
exp_dgemm_independent-sizes_1.csv,2133,2247,1741
exp_dgemm_independent-sizes_1.csv,1295,309,1500
exp_dgemm_independent-sizes_1.csv,132,952,9554
exp_dgemm_independent-sizes_1.csv,356,8281,673
exp_dgemm_independent-sizes_1.csv,5261,1235,390
exp_dgemm_independent-sizes_1.csv,5077,2767,301
exp_dgemm_independent-sizes_1.csv,1752,3862,810
exp_dgemm_independent-sizes_1.csv,1051,119,9963
exp_dgemm_independent-sizes_1.csv,4532,5984,186
exp_dgemm_independent-sizes_1.csv,5005,4242,366
exp_dgemm_independent-sizes_1.csv,754,1678,4694
exp_dgemm_independent-sizes_1.csv,6444,276,3746
exp_dgemm_independent-sizes_1.csv,2938,49,1098
exp_dgemm_independent-sizes_1.csv,5477,517,3048
exp_dgemm_independent-sizes_1.csv,1104,2835,1651
exp_dgemm_independent-sizes_1.csv,2676,3488,76
exp_dgemm_independent-sizes_1.csv,3400,4485,210
exp_dgemm_independent-sizes_1.csv,1655,1583,1605
exp_dgemm_independent-sizes_1.csv,3473,4775,17
exp_dgemm_independent-sizes_1.csv,3745,167,5010
exp_dgemm_independent-sizes_1.csv,6894,285,1391
exp_dgemm_independent-sizes_1.csv,1328,2924,741
exp_dgemm_independent-sizes_1.csv,4602,4562,383
exp_dgemm_independent-sizes_1.csv,3172,345,1745
exp_dgemm_independent-sizes_1.csv,646,3480,727
exp_dgemm_independent-sizes_1.csv,1697,318,6451
exp_dgemm_independent-sizes_1.csv,623,3537,760
exp_dgemm_independent-sizes_1.csv,1091,3872,1728
exp_dgemm_independent-sizes_1.csv,279,3490,8595
exp_dgemm_independent-sizes_1.csv,1387,360,3142
exp_dgemm_independent-sizes_1.csv,1323,3058,1434
exp_dgemm_independent-sizes_1.csv,993,765,9402
exp_dgemm_independent-sizes_1.csv,505,9563,1491
exp_dgemm_independent-sizes_1.csv,949,1346,6319
exp_dgemm_independent-sizes_1.csv,3753,4741,247
exp_dgemm_independent-sizes_1.csv,1764,393,2249
exp_dgemm_independent-sizes_1.csv,8414,509,74
exp_dgemm_independent-sizes_1.csv,4951,363,2794
exp_dgemm_independent-sizes_1.csv,6647,211,2397
exp_dgemm_independent-sizes_1.csv,7622,769,1615
exp_dgemm_independent-sizes_1.csv,3638,114,5407
exp_dgemm_independent-sizes_1.csv,2694,7850,143
exp_dgemm_independent-sizes_1.csv,4862,14,80
exp_dgemm_independent-sizes_1.csv,639,659,8365
exp_dgemm_independent-sizes_1.csv,4184,132,3853
exp_dgemm_independent-sizes_1.csv,823,374,9347
exp_dgemm_independent-sizes_1.csv,8865,97,8634
exp_dgemm_independent-sizes_1.csv,712,600,4688
exp_dgemm_independent-sizes_1.csv,6989,731,1647
exp_dgemm_independent-sizes_1.csv,2219,181,8062
exp_dgemm_independent-sizes_1.csv,6589,2081,125
exp_dgemm_independent-sizes_1.csv,1852,9208,379
exp_dgemm_independent-sizes_1.csv,9544,528,910
exp_dgemm_independent-sizes_1.csv,112,9117,1668
exp_dgemm_independent-sizes_1.csv,9937,937,893
exp_dgemm_independent-sizes_1.csv,8228,99,4647
exp_dgemm_independent-sizes_1.csv,416,1378,4955
exp_dgemm_independent-sizes_1.csv,2643,1880,1001
exp_dgemm_independent-sizes_1.csv,1703,2030,708
exp_dgemm_independent-sizes_1.csv,543,1343,9001
exp_dgemm_independent-sizes_1.csv,650,2656,5094
exp_dgemm_independent-sizes_1.csv,4755,6849,34
exp_dgemm_independent-sizes_1.csv,20,3833,481
exp_dgemm_independent-sizes_1.csv,7603,58,2238
exp_dgemm_independent-sizes_1.csv,19,2728,8693
exp_dgemm_independent-sizes_1.csv,228,5916,910
exp_dgemm_independent-sizes_1.csv,553,1528,8484
exp_dgemm_independent-sizes_1.csv,8742,461,1517
exp_dgemm_independent-sizes_1.csv,82,4427,4957
exp_dgemm_independent-sizes_1.csv,1875,1633,1109
exp_dgemm_independent-sizes_1.csv,6461,7522,48
exp_dgemm_independent-sizes_1.csv,6379,803,773
exp_dgemm_independent-sizes_1.csv,295,21,6960
exp_dgemm_independent-sizes_1.csv,3369,276,3221
exp_dgemm_independent-sizes_1.csv,1737,3795,422
exp_dgemm_independent-sizes_1.csv,78,6096,9470
exp_dgemm_independent-sizes_1.csv,438,8109,1642
exp_dgemm_independent-sizes_1.csv,893,347,1470
exp_dgemm_independent-sizes_1.csv,349,1202,1968
exp_dgemm_independent-sizes_1.csv,2601,800,2541
exp_dgemm_independent-sizes_1.csv,5729,1562,576
exp_dgemm_independent-sizes_1.csv,566,2948,1292
exp_dgemm_independent-sizes_1.csv,8441,102,9302
exp_dgemm_independent-sizes_1.csv,5409,488,3025
exp_dgemm_independent-sizes_1.csv,8823,95,6286
exp_dgemm_independent-sizes_1.csv,1628,334,4785
exp_dgemm_independent-sizes_1.csv,1220,3662,152
