jobid,expfile,m,n,k,node,cpu,duration
1964858,exp_dgemm_independent-sizes_7.csv,848,2097,4238,5,0,0.5803674
1964858,exp_dgemm_independent-sizes_7.csv,88,1622,5121,5,0,0.08398556
1964858,exp_dgemm_independent-sizes_7.csv,657,1156,7908,5,0,0.45984890000000006
1964858,exp_dgemm_independent-sizes_7.csv,827,4955,2186,5,0,0.6777321
1964858,exp_dgemm_independent-sizes_7.csv,1629,150,2715,5,0,0.05999923
1964858,exp_dgemm_independent-sizes_7.csv,5044,1233,960,5,0,0.44400730000000005
1964858,exp_dgemm_independent-sizes_7.csv,790,1453,50,5,0,0.0051935620000000005
1964858,exp_dgemm_independent-sizes_7.csv,949,37,3031,5,0,0.01483054
1964858,exp_dgemm_independent-sizes_7.csv,4168,64,8998,5,0,0.24862470000000003
1964858,exp_dgemm_independent-sizes_7.csv,85,2580,3049,5,0,0.07818625
1964858,exp_dgemm_independent-sizes_7.csv,3964,1378,144,5,0,0.05974771
1964858,exp_dgemm_independent-sizes_7.csv,4863,437,2555,5,0,0.43410950000000004
1964858,exp_dgemm_independent-sizes_7.csv,428,1086,2775,5,0,0.10472839999999999
1964858,exp_dgemm_independent-sizes_7.csv,1604,6687,181,5,0,0.14666500000000002
1964858,exp_dgemm_independent-sizes_7.csv,5628,9709,140,5,0,0.560226
1964858,exp_dgemm_independent-sizes_7.csv,2692,511,3183,5,0,0.34812519999999997
1964858,exp_dgemm_independent-sizes_7.csv,1931,531,5650,5,0,0.46533640000000004
1964858,exp_dgemm_independent-sizes_7.csv,506,2015,6204,5,0,0.5203350999999999
1964858,exp_dgemm_independent-sizes_7.csv,2141,3745,875,5,0,0.5286301
1964858,exp_dgemm_independent-sizes_7.csv,3647,3048,235,5,0,0.1927815
1964858,exp_dgemm_independent-sizes_7.csv,3804,302,8209,5,0,0.793373
1964858,exp_dgemm_independent-sizes_7.csv,372,1707,2331,5,0,0.1202845
1964858,exp_dgemm_independent-sizes_7.csv,2594,106,8396,5,0,0.2178136
1964858,exp_dgemm_independent-sizes_7.csv,9240,799,169,5,0,0.09334502
1964858,exp_dgemm_independent-sizes_7.csv,619,7398,2115,5,0,0.7620669
1964858,exp_dgemm_independent-sizes_7.csv,4375,3690,593,5,0,0.7018519
1964858,exp_dgemm_independent-sizes_7.csv,164,2475,8732,5,0,0.3062313
1964858,exp_dgemm_independent-sizes_7.csv,545,1588,2918,5,0,0.20277320000000001
1964858,exp_dgemm_independent-sizes_7.csv,5478,418,1197,5,0,0.2136643
1964858,exp_dgemm_independent-sizes_7.csv,2581,185,532,5,0,0.02103462
1964858,exp_dgemm_independent-sizes_7.csv,1073,116,2367,5,0,0.0269669
1964858,exp_dgemm_independent-sizes_7.csv,520,775,8405,5,0,0.27625079999999996
1964858,exp_dgemm_independent-sizes_7.csv,712,2393,3330,5,0,0.43094499999999997
1964858,exp_dgemm_independent-sizes_7.csv,1861,4805,385,5,0,0.2531069
1964858,exp_dgemm_independent-sizes_7.csv,2246,7770,475,5,0,0.610834
1964858,exp_dgemm_independent-sizes_7.csv,720,3984,1933,5,0,0.42544740000000003
1964858,exp_dgemm_independent-sizes_7.csv,1909,211,582,5,0,0.02022135
1964858,exp_dgemm_independent-sizes_7.csv,494,2423,4132,5,0,0.3862514
1964858,exp_dgemm_independent-sizes_7.csv,1362,1808,2586,5,0,0.4855005
1964858,exp_dgemm_independent-sizes_7.csv,3611,325,4980,5,0,0.48340150000000004
1964858,exp_dgemm_independent-sizes_7.csv,1540,322,7013,5,0,0.291547
1964858,exp_dgemm_independent-sizes_7.csv,8284,6147,116,5,0,0.45277449999999997
1964858,exp_dgemm_independent-sizes_7.csv,3748,462,757,5,0,0.1052177
1964858,exp_dgemm_independent-sizes_7.csv,6294,632,1357,5,0,0.41488590000000003
1964858,exp_dgemm_independent-sizes_7.csv,2509,9900,160,5,0,0.28719490000000003
1964858,exp_dgemm_independent-sizes_7.csv,278,686,1205,5,0,0.0195668
1964858,exp_dgemm_independent-sizes_7.csv,97,2511,3104,5,0,0.08432796
1964858,exp_dgemm_independent-sizes_7.csv,1873,5110,621,5,0,0.44489490000000004
1964858,exp_dgemm_independent-sizes_7.csv,4724,5346,289,5,0,0.5288795999999999
1964858,exp_dgemm_independent-sizes_7.csv,981,4082,154,5,0,0.04661933
1964858,exp_dgemm_independent-sizes_7.csv,523,1247,5081,5,0,0.2692651
1964858,exp_dgemm_independent-sizes_7.csv,1986,243,3597,5,0,0.1423237
1964858,exp_dgemm_independent-sizes_7.csv,268,4911,6457,5,0,0.6823233
1964858,exp_dgemm_independent-sizes_7.csv,1770,3007,1388,5,0,0.5520276999999999
1964858,exp_dgemm_independent-sizes_7.csv,986,2835,3110,5,0,0.6759399
1964858,exp_dgemm_independent-sizes_7.csv,1393,52,628,5,0,0.005244998000000001
1964858,exp_dgemm_independent-sizes_7.csv,526,9901,407,5,0,0.1744812
1964858,exp_dgemm_independent-sizes_7.csv,2828,5661,240,5,0,0.2803954
1964858,exp_dgemm_independent-sizes_7.csv,1854,1154,1801,5,0,0.29887440000000004
1964858,exp_dgemm_independent-sizes_7.csv,5432,587,731,5,0,0.1794221
1964858,exp_dgemm_independent-sizes_7.csv,145,8684,5416,5,0,0.643196
1964858,exp_dgemm_independent-sizes_7.csv,3283,662,4437,5,0,0.7478611
1964858,exp_dgemm_independent-sizes_7.csv,1104,1102,4496,5,0,0.4333718
1964858,exp_dgemm_independent-sizes_7.csv,2002,719,2903,5,0,0.3269228
1964858,exp_dgemm_independent-sizes_7.csv,290,3241,1967,5,0,0.15242779999999997
1964858,exp_dgemm_independent-sizes_7.csv,8345,4184,272,5,0,0.6854541999999999
1964858,exp_dgemm_independent-sizes_7.csv,518,9054,1921,5,0,0.7080829000000001
1964858,exp_dgemm_independent-sizes_7.csv,9360,2199,159,5,0,0.2356518
1964858,exp_dgemm_independent-sizes_7.csv,704,232,5193,5,0,0.07158717
1964858,exp_dgemm_independent-sizes_7.csv,3322,345,1509,5,0,0.13583299999999998
1964858,exp_dgemm_independent-sizes_7.csv,3426,3448,623,5,0,0.5449579000000001
1964858,exp_dgemm_independent-sizes_7.csv,9712,1062,898,5,0,0.7026647
1964858,exp_dgemm_independent-sizes_7.csv,261,1197,4362,5,0,0.1193607
1964858,exp_dgemm_independent-sizes_7.csv,7899,149,5901,5,0,0.6086765000000001
1964858,exp_dgemm_independent-sizes_7.csv,16,8003,8579,5,0,0.3171651
1964858,exp_dgemm_independent-sizes_7.csv,3952,2451,87,5,0,0.06191706
1964858,exp_dgemm_independent-sizes_7.csv,3506,331,7242,5,0,0.6885864
1964858,exp_dgemm_independent-sizes_7.csv,2574,122,7364,5,0,0.2164094
1964858,exp_dgemm_independent-sizes_7.csv,2758,1611,521,5,0,0.1770598
1964858,exp_dgemm_independent-sizes_7.csv,2686,2769,1037,5,0,0.5860194000000001
1964858,exp_dgemm_independent-sizes_7.csv,6555,27,1364,5,0,0.03848534
1964858,exp_dgemm_independent-sizes_7.csv,7897,2764,368,5,0,0.5911061
1964858,exp_dgemm_independent-sizes_7.csv,7652,6476,86,5,0,0.3303703
1964858,exp_dgemm_independent-sizes_7.csv,8581,237,1011,5,0,0.1697401
1964858,exp_dgemm_independent-sizes_7.csv,5588,6983,175,5,0,0.4983979
1964858,exp_dgemm_independent-sizes_7.csv,1273,3595,807,5,0,0.2829397
1964858,exp_dgemm_independent-sizes_7.csv,2499,1803,841,5,0,0.2877132
1964858,exp_dgemm_independent-sizes_7.csv,3781,860,2876,5,0,0.7231794
1964858,exp_dgemm_independent-sizes_7.csv,3234,1264,281,5,0,0.08724682
1964858,exp_dgemm_independent-sizes_7.csv,3375,515,1285,5,0,0.1783245
1964858,exp_dgemm_independent-sizes_7.csv,3237,385,562,5,0,0.05576441
1964858,exp_dgemm_independent-sizes_7.csv,2777,2958,10,5,0,0.01241659
1964858,exp_dgemm_independent-sizes_7.csv,4177,115,6909,5,0,0.3180228
1964858,exp_dgemm_independent-sizes_7.csv,34,2142,1222,5,0,0.01739203
1964858,exp_dgemm_independent-sizes_7.csv,5914,6482,210,5,0,0.5762523
1964858,exp_dgemm_independent-sizes_7.csv,1689,342,9595,5,0,0.46144179999999996
1964858,exp_dgemm_independent-sizes_7.csv,3069,209,8892,5,0,0.49033990000000005
1964858,exp_dgemm_independent-sizes_7.csv,1347,1626,1968,5,0,0.3251259
1964858,exp_dgemm_independent-sizes_7.csv,707,5814,1954,5,0,0.6131779
1964858,exp_dgemm_independent-sizes_7.csv,146,2779,5605,5,0,0.21370619999999999
1964858,exp_dgemm_independent-sizes_7.csv,401,3472,4992,5,0,0.5137917000000001
1964858,exp_dgemm_independent-sizes_7.csv,115,2540,8073,5,0,0.2463629
1964858,exp_dgemm_independent-sizes_7.csv,743,2312,5164,5,0,0.6516873000000001
1964858,exp_dgemm_independent-sizes_7.csv,6573,1980,95,5,0,0.0886602
1964858,exp_dgemm_independent-sizes_7.csv,45,2703,4436,5,0,0.08755154
1964858,exp_dgemm_independent-sizes_7.csv,316,464,7215,5,0,0.08750396
1964858,exp_dgemm_independent-sizes_7.csv,1276,2243,1713,5,0,0.35759070000000004
1964858,exp_dgemm_independent-sizes_7.csv,731,8019,169,5,0,0.07371821
1964858,exp_dgemm_independent-sizes_7.csv,42,4637,7605,5,0,0.23931620000000003
1964858,exp_dgemm_independent-sizes_7.csv,127,3366,1420,5,0,0.06109517
1964858,exp_dgemm_independent-sizes_7.csv,3014,9865,144,5,0,0.3016534
1964858,exp_dgemm_independent-sizes_7.csv,3261,8190,136,5,0,0.2783939
1964858,exp_dgemm_independent-sizes_7.csv,1364,3670,950,5,0,0.359016
1964858,exp_dgemm_independent-sizes_7.csv,4110,352,2700,5,0,0.3121526
1964858,exp_dgemm_independent-sizes_7.csv,809,678,8872,5,0,0.3930243
1964858,exp_dgemm_independent-sizes_7.csv,9877,3193,108,5,0,0.2514317
1964858,exp_dgemm_independent-sizes_7.csv,597,9061,1037,5,0,0.449028
1964858,exp_dgemm_independent-sizes_7.csv,1952,673,2736,5,0,0.27018109999999995
1964858,exp_dgemm_independent-sizes_7.csv,76,6533,5334,5,0,0.3137862
1964858,exp_dgemm_independent-sizes_7.csv,354,1640,1491,5,0,0.06905367
1964858,exp_dgemm_independent-sizes_7.csv,3987,430,2824,5,0,0.38130590000000003
1964858,exp_dgemm_independent-sizes_7.csv,1887,1645,2141,5,0,0.5073072
1964858,exp_dgemm_independent-sizes_7.csv,1515,1057,3364,5,0,0.4276789000000001
1964858,exp_dgemm_independent-sizes_7.csv,3638,989,2110,5,0,0.5958869000000001
1964858,exp_dgemm_independent-sizes_7.csv,4836,8935,38,5,0,0.14596979999999998
1964858,exp_dgemm_independent-sizes_7.csv,6625,3583,314,5,0,0.5393816
1964858,exp_dgemm_independent-sizes_7.csv,61,8368,9868,5,0,0.6685833999999999
1964858,exp_dgemm_independent-sizes_7.csv,244,3732,1459,5,0,0.1104681
1964858,exp_dgemm_independent-sizes_7.csv,2537,195,182,5,0,0.007565888000000001
1964858,exp_dgemm_independent-sizes_7.csv,2489,1388,2679,5,0,0.7016190999999999
1964858,exp_dgemm_independent-sizes_7.csv,2926,304,6821,5,0,0.4883991
1964858,exp_dgemm_independent-sizes_7.csv,5074,5386,294,5,0,0.5786639
1964858,exp_dgemm_independent-sizes_7.csv,585,1152,960,5,0,0.05228204
1964858,exp_dgemm_independent-sizes_7.csv,1206,4563,1434,5,0,0.5977573
1964858,exp_dgemm_independent-sizes_7.csv,9216,32,7319,5,0,0.286938
1964858,exp_dgemm_independent-sizes_7.csv,188,6323,7467,5,0,0.7703858
1964858,exp_dgemm_independent-sizes_7.csv,9985,296,1007,5,0,0.2361956
1964858,exp_dgemm_independent-sizes_7.csv,3482,788,191,5,0,0.03981514
1964858,exp_dgemm_independent-sizes_7.csv,1268,880,1412,5,0,0.12351969999999998
1964858,exp_dgemm_independent-sizes_7.csv,8238,86,6679,5,0,0.48323640000000007
1964858,exp_dgemm_independent-sizes_7.csv,1324,2026,1372,5,0,0.2826681
1964858,exp_dgemm_independent-sizes_7.csv,7866,181,3955,5,0,0.4814491
1964858,exp_dgemm_independent-sizes_7.csv,304,3455,2635,5,0,0.2304076
1964858,exp_dgemm_independent-sizes_7.csv,3711,169,3304,5,0,0.18110220000000002
1964858,exp_dgemm_independent-sizes_7.csv,3561,768,2503,5,0,0.5298205
1964858,exp_dgemm_independent-sizes_7.csv,5823,730,906,5,0,0.294322
1964858,exp_dgemm_independent-sizes_7.csv,8804,300,1476,5,0,0.3069412
1964858,exp_dgemm_independent-sizes_7.csv,108,6742,5979,5,0,0.45417529999999995
1964858,exp_dgemm_independent-sizes_7.csv,4258,177,5191,5,0,0.3316099
1964858,exp_dgemm_independent-sizes_7.csv,3569,5360,82,5,0,0.120352
1964858,exp_dgemm_independent-sizes_7.csv,3467,2636,496,5,0,0.3238977
1964858,exp_dgemm_independent-sizes_7.csv,42,8041,7317,5,0,0.3965738
1964858,exp_dgemm_independent-sizes_7.csv,9100,64,6035,5,0,0.3571764
1964858,exp_dgemm_independent-sizes_7.csv,424,4413,3052,5,0,0.444828
1964858,exp_dgemm_independent-sizes_7.csv,1285,1114,5572,5,0,0.6179344
1964858,exp_dgemm_independent-sizes_7.csv,624,4891,1267,5,0,0.2963795
1964858,exp_dgemm_independent-sizes_7.csv,126,5496,5491,5,0,0.36763779999999996
1964858,exp_dgemm_independent-sizes_7.csv,276,2073,4245,5,0,0.19772079999999997
1964858,exp_dgemm_independent-sizes_7.csv,8950,2234,171,5,0,0.24638649999999998
1964858,exp_dgemm_independent-sizes_7.csv,2049,2464,1548,5,0,0.5963233
1964858,exp_dgemm_independent-sizes_7.csv,6632,9130,107,5,0,0.4902184
1964858,exp_dgemm_independent-sizes_7.csv,9190,432,559,5,0,0.1739465
1964858,exp_dgemm_independent-sizes_7.csv,9431,156,1601,5,0,0.2058324
1964858,exp_dgemm_independent-sizes_7.csv,8161,402,530,5,0,0.1403998
1964858,exp_dgemm_independent-sizes_7.csv,7431,308,1856,5,0,0.3396378
1964858,exp_dgemm_independent-sizes_7.csv,255,7326,2352,5,0,0.35595129999999997
1964858,exp_dgemm_independent-sizes_7.csv,25,9795,7139,5,0,0.3673532
1964858,exp_dgemm_independent-sizes_7.csv,377,3652,2475,5,0,0.2595971
1964858,exp_dgemm_independent-sizes_7.csv,344,5795,2222,5,0,0.3434997
1964858,exp_dgemm_independent-sizes_7.csv,3759,2226,860,5,0,0.5318938
1964858,exp_dgemm_independent-sizes_7.csv,2259,5801,240,5,0,0.2329085
1964858,exp_dgemm_independent-sizes_7.csv,2238,330,4502,5,0,0.265362
1964858,exp_dgemm_independent-sizes_7.csv,2443,260,1942,5,0,0.09779883
1964858,exp_dgemm_independent-sizes_7.csv,8,7220,4430,5,0,0.1348624
